,SART -  Number Go trials,SART -  Number Go mistakes,SART -  Go mistakes (%),SART -  Number No Go trials,SART -  Number No Go mistakes,SART -  No Go mistakes (%),ASQ score:
1,16.0,0.0,0.0,2.0,2.0,100.0,7.0
2,16.0,1.0,5.0,3.0,3.0,100.0,5.0
3,16.0,0.0,0.0,2.0,0.0,0.0,5.0
4,16.0,0.0,0.0,2.0,1.0,50.0,1.0
5,200.0,6.0,3.0,25.0,19.0,76.0,10.0
6,200.0,0.0,0.0,25.0,18.0,72.0,3.0
7,16.0,2.0,13.0,2.0,2.0,100.0,5.0
8,16.0,0.0,0.0,2.0,0.0,0.0,2.0
9,16.0,0.0,0.0,2.0,0.0,0.0,6.0
10,16.0,1.0,6.0,2.0,1.0,50.0,1.0
11,16.0,0.0,0.0,2.0,0.0,0.0,3.0
12,200.0,0.0,0.0,25.0,7.0,28.0,3.0
13,16.0,1.0,6.0,2.0,1.0,50.0,1.0
14,200.0,1.0,1.0,25.0,19.0,76.0,1.0
15,16.0,0.0,0.0,2.0,1.0,50.0,3.0
16,100.0,3.0,3.0,10.0,9.0,90.0,1.0
17,16.0,0.0,0.0,2.0,0.0,0.0,1.0
18,16.0,0.0,0.0,2.0,0.0,0.0,2.0
19,16.0,0.0,0.0,2.0,2.0,100.0,3.0
20,16.0,0.0,0.0,2.0,2.0,100.0,4.0
21,16.0,1.0,6.0,2.0,2.0,100.0,5.0
22,225.0,15.0,6.67,75.0,5.0,6.67,1.0
23,200.0,4.0,2.0,25.0,12.0,48.0,6.0
24,16.0,3.0,3.0,4.0,2.0,80.0,2.0
25,16.0,0.0,0.0,2.0,0.0,0.0,7.0
26,200.0,1.0,1.0,25.0,7.0,28.0,2.0
27,16.0,0.0,0.0,2.0,0.0,0.0,4.0
29,16.0,0.0,0.0,2.0,2.0,100.0,1.0
30,16.0,0.0,0.0,2.0,1.0,50.0,4.0
31,200.0,0.0,0.0,25.0,2.0,8.0,2.0
33,16.0,0.0,0.0,2.0,0.0,0.0,4.0
34,16.0,0.0,0.0,2.0,1.0,50.0,3.0
35,200.0,0.0,0.0,39.0,7.0,18.0,2.0
36,16.0,0.0,0.0,2.0,0.0,0.0,4.0
37,200.0,15.0,8.0,25.0,18.0,72.0,8.0
38,200.0,5.0,3.0,25.0,19.0,76.0,4.0
39,16.0,0.0,0.0,2.0,2.0,100.0,2.0
40,200.0,3.0,2.0,25.0,18.0,72.0,5.0
41,200.0,1.0,1.0,25.0,8.0,32.0,1.0
42,16.0,1.0,6.0,2.0,2.0,100.0,2.0
43,200.0,0.0,0.0,25.0,4.0,16.0,2.0
44,16.0,0.0,0.0,2.0,1.0,50.0,4.0
45,16.0,0.0,0.0,2.0,1.0,50.0,4.0
46,16.0,1.0,6.0,2.0,2.0,100.0,5.0
47,16.0,0.0,0.0,2.0,1.0,50.0,3.0
48,16.0,1.0,6.0,2.0,2.0,100.0,2.0
49,16.0,0.0,0.0,2.0,0.0,0.0,4.0
50,16.0,0.0,0.0,2.0,1.0,50.0,2.0
51,16.0,0.0,0.0,2.0,1.0,50.0,7.0
52,16.0,0.0,0.0,2.0,1.0,50.0,2.0
53,16.0,0.0,0.0,2.0,2.0,100.0,3.0
54,16.0,0.0,0.0,2.0,1.0,50.0,4.0
55,16.0,0.0,0.0,2.0,1.0,50.0,1.0
56,16.0,0.0,0.0,2.0,0.0,0.0,5.0
57,16.0,0.0,0.0,2.0,0.0,0.0,4.0
58,16.0,0.0,0.0,2.0,1.0,50.0,2.0
59,16.0,0.0,0.0,2.0,1.0,50.0,4.0
60,16.0,0.0,0.0,2.0,1.0,50.0,3.0
61,200.0,1.0,1.0,4.0,4.0,16.0,5.0
62,16.0,0.0,0.0,2.0,1.0,50.0,0.0
63,200.0,2.0,1.0,25.0,13.0,52.0,2.0
64,200.0,0.0,0.0,25.0,0.0,0.0,2.0
65,200.0,1.0,1.0,25.0,15.0,60.0,2.0
66,16.0,0.0,0.0,2.0,0.0,0.0,5.0
67,16.0,1.0,6.0,2.0,1.0,50.0,2.0
68,16.0,0.0,0.0,2.0,1.0,50.0,0.0
69,16.0,1.0,6.25,2.0,1.0,50.0,5.0
70,16.0,0.0,0.0,2.0,1.0,50.0,5.0
71,200.0,6.0,3.0,25.0,21.0,84.0,5.0
72,16.0,0.0,0.0,2.0,1.0,50.0,2.0
73,200.0,0.0,0.0,25.0,18.0,72.0,2.0
74,16.0,1.0,6.0,2.0,0.0,0.0,6.0
75,200.0,1.0,25.0,25.0,15.0,60.0,2.0
76,16.0,0.0,0.0,2.0,0.0,0.0,6.0
77,200.0,0.0,0.0,25.0,9.0,36.0,1.0
78,16.0,0.0,0.0,2.0,1.0,50.0,2.0
79,16.0,0.0,0.0,2.0,0.0,0.0,1.0
80,200.0,1.0,1.0,25.0,8.0,32.0,5.0
81,16.0,0.0,0.0,2.0,0.0,0.0,1.0
