,Congruent,Incongruent,Stroop effect,ASQ score:
1,625.0,763.0,138.0,7.0
2,725.0,789.0,64.0,5.0
3,640.0,766.0,126.0,5.0
4,714.0,793.0,79.0,1.0
5,441.0,595.0,154.0,10.0
6,575.0,655.0,80.0,3.0
7,688.0,629.0,-59.0,5.0
8,542.0,734.0,192.0,2.0
9,500.0,644.0,144.0,6.0
10,654.0,870.0,216.0,1.0
11,756.0,870.0,114.0,3.0
12,948.0,856.0,-92.0,3.0
13,557.0,604.0,47.0,1.0
14,497.0,616.0,119.0,1.0
15,736.0,812.0,76.0,3.0
16,735.0,860.0,125.0,1.0
17,834.0,794.0,-40.0,1.0
18,807.0,1074.0,270.0,2.0
19,750.0,804.0,54.0,3.0
20,819.0,927.0,108.0,4.0
21,949.0,1251.0,302.0,5.0
22,535.0,670.0,135.0,1.0
23,1040.0,1107.0,67.0,6.0
24,848.0,959.0,111.0,2.0
25,763.0,928.0,165.0,7.0
26,620.0,876.0,256.0,2.0
29,698.0,808.0,110.0,1.0
30,1029.0,893.0,-136.0,4.0
31,683.0,780.0,97.0,2.0
33,677.0,859.0,182.0,4.0
34,892.0,969.0,77.0,3.0
35,595.0,658.0,63.0,2.0
36,616.0,780.0,164.0,4.0
37,433.0,479.0,46.0,8.0
38,894.0,1148.0,254.0,4.0
39,513.0,589.0,76.0,2.0
40,787.0,889.0,102.0,5.0
41,687.0,804.0,117.0,1.0
42,1219.0,1129.0,-90.0,2.0
43,998.0,1049.0,51.0,2.0
44,918.0,890.0,-28.0,4.0
45,938.0,716.0,-222.0,4.0
46,1122.0,1187.0,65.0,5.0
47,597.0,642.0,45.0,3.0
48,1075.0,1474.0,399.0,2.0
49,823.0,876.0,73.0,4.0
50,445.0,485.0,40.0,2.0
51,587.0,741.0,154.0,7.0
52,847.0,868.0,21.0,2.0
53,842.0,1004.0,162.0,3.0
54,694.0,950.0,256.0,4.0
55,836.0,1069.0,233.0,1.0
56,920.0,1034.0,114.0,5.0
57,635.0,716.0,81.0,4.0
58,643.0,687.0,44.0,2.0
59,865.0,943.0,78.0,4.0
60,611.0,736.0,125.0,3.0
61,788.0,897.0,109.0,5.0
62,742.0,816.0,74.0,0.0
63,469.0,665.0,196.0,2.0
64,753.0,687.0,-66.0,2.0
65,697.0,716.0,19.0,2.0
66,1477.0,1295.0,-182.0,5.0
67,476.0,600.0,124.0,2.0
68,729.0,912.0,183.0,0.0
69,675.0,807.0,132.0,5.0
70,759.0,956.0,197.0,5.0
71,602.0,677.0,75.0,5.0
72,640.0,771.0,131.0,2.0
73,493.0,562.0,69.0,2.0
74,791.0,815.0,24.0,6.0
75,1009.0,870.0,-139.0,2.0
76,423.0,588.0,165.0,6.0
77,507.0,721.0,214.0,1.0
78,908.0,897.0,-11.0,2.0
79,663.0,1214.0,551.0,1.0
80,853.0,858.0,5.0,5.0
81,722.0,751.0,29.0,1.0
